"","obj","obj.approx","method","IT","time","n","p"
"26",0.242092712099153,0.240823537855621,"EXACT",1,2098.062,150,20
"891",0.263969626790493,0.259667442846312,"RAND",1,13.0859999999993,150,20
"1110",0.244015006131167,0.243359446515093,"LB_APPROX",2,17.3019999999997,150,20
"125",0.235869847527739,0.234665320984488,"EXACT",2,4200.024,150,20
"63",0.256376261713807,0.250926170529307,"RAND",2,10.6270000000004,150,20
"135",0.241935837029278,0.241759066941114,"LB_APPROX",3,2.68400000000111,150,20
"146",0.243648394085973,0.238273350380527,"EXACT",3,4515.059,150,20
"411",0.25858712337928,0.253909645647198,"RAND",3,10.5799999999981,150,20
"155",0.254622884575033,0.254458779425356,"LB_APPROX",4,0.848000000001775,150,20
"165",0.254309805361331,0.250765792912952,"EXACT",4,4949.268,150,20
"1311",0.278670767004877,0.267623715974434,"RAND",4,11.4459999999963,150,20
"175",0.279574397242791,0.279142768627882,"LB_APPROX",5,0.995999999999185,150,20
"185",0.275518334008801,0.271197803308471,"EXACT",5,740.957000000002,150,20
"6",0.302450901709785,0.295684991966908,"RAND",5,8.61200000000099,150,20
